timestep	mean	median
5878	112.78532239283496	14.684545939123597
11233	553.0568480630011	541.3939357623076
17142	800.7468351994031	812.6822124758712
23142	781.1117223848048	786.3824928940791
29142	780.3742056017244	783.7079760146994
34671	801.9378888079527	850.8661468650794
40671	766.898508045591	769.8595548173664
46418	758.3876964515131	760.9329924842837
52378	876.5980979196405	885.1481030537345
58378	877.282234489501	873.413681568137
64378	962.663959839668	958.8392143253413
70378	935.0501082638027	934.6494255336567
76378	951.9874899001867	953.1579223566083
82378	959.0140098164054	955.4558595906583
88378	968.2291492693003	969.2006964515936
94378	964.9509170250547	965.6261628849032
100378	974.790460256492	974.7830010394455
106378	981.8355219412563	982.4989070226434
112378	982.6888707270864	981.8445917508288
118378	982.3013917584069	981.7378986223869
124378	983.3928853772692	983.2328561576587
130378	980.0178642595838	982.4298350133108
136378	983.9046156835636	982.9100909460477
142378	985.4847349837149	986.8765718982038
148378	983.4173620100403	986.6159271840326
154378	987.45696850363	991.3916363850115
160378	991.5996232856949	991.4714647945448
166378	987.7627686476886	988.5591432278843
172378	984.2687316142421	985.6771041020817
178378	981.7152762031932	983.2508809934614
184378	984.2073563831276	983.3133321722526
190378	986.8096771113327	986.2281142309896
196378	991.4851628923358	993.8334586533242
202378	990.4131454491501	992.1055175569716
208378	991.2307891138447	992.1405148135505
214378	984.7114814139364	985.485929827121
220378	989.0331780138852	990.253602588923
226378	987.0971340490767	988.9840988148364
232378	988.3038520859642	988.4969385242241
238378	987.4260078581023	986.2531538899249
244378	988.0830690639912	987.5458105794339
250378	986.5232761269099	987.4931436934396
256378	986.1627139499284	988.191063444531
262378	991.4086390721362	991.6802761333206
268378	984.6215854893462	986.6125507796921
274378	987.7499771623158	988.6872105883449
280378	987.3509674453587	987.0086946361921
286378	988.6700938021295	987.9196971282258
292378	983.2593850616422	983.1464857754199
298378	988.4530695321755	987.3248029255549
304378	987.6204969142211	989.3991812173014
310378	985.6878148378943	985.7842395698566
316378	985.9190970834297	986.4126211623113
322378	983.0542461963554	981.9741779407298
328378	985.6075125321283	987.4335604887187
334378	988.1323939137116	989.5366716261731
340378	1000.6382783134895	1003.1661242128829
346378	986.8393409162643	987.5404179419274
352378	985.3802178338896	982.9689225882092
358378	983.4779873663452	982.7881903494333
364378	989.7928299474181	989.8058630764738
370378	990.8256156990168	989.4351891571165
376378	983.3499671844062	983.7507258950011
382378	982.8914604009594	983.6825592059536
388378	984.8831943323006	984.6106155056888
394378	985.405989107369	984.7375231625681
400378	985.3901498947346	984.6408149946154
406378	982.3925603488373	982.0594261442982
412378	983.6416040249214	983.7479034711257
418378	985.6184685276285	985.70221224275
424378	990.0935906000111	989.0121442599557
430378	987.4881955294813	986.9653980902292
436378	986.7777190075285	987.0691103844875
442378	985.888020927236	985.4802837734888
448378	985.9841153753474	987.4180149837956
454378	987.5076875284158	985.1695342243563
